exchange,symbol,price,timestamp,bid,ask,volume
Coinbase,BTC-USD,109919.94,2025-11-01 22:05:58.574910+00:00,109919.93,109919.94,1679.33264745
Coinbase,BTC-USD,109919.94,2025-11-01 22:05:58.601777+00:00,109919.93,109919.94,1679.33282759
Coinbase,BTC-USD,109919.94,2025-11-01 22:05:58.690674+00:00,109919.93,109920.36,1679.33329816
Coinbase,BTC-USD,109920.36,2025-11-01 22:05:58.690674+00:00,109919.93,109920.36,1679.3336394
Coinbase,BTC-USD,109920.36,2025-11-01 22:05:58.690674+00:00,109919.93,109920.36,1679.33398064
Coinbase,BTC-USD,109920.36,2025-11-01 22:05:58.690674+00:00,109919.93,109920.36,1679.33412196
Coinbase,BTC-USD,109920.11,2025-11-01 22:05:58.748038+00:00,109920.1,109920.36,1679.33503133
Coinbase,BTC-USD,109920.36,2025-11-01 22:05:58.748038+00:00,109920.1,109920.36,1679.33523125
Coinbase,BTC-USD,109920.36,2025-11-01 22:05:58.748038+00:00,109920.1,109920.36,1679.33557249
Coinbase,BTC-USD,109920.36,2025-11-01 22:05:58.748038+00:00,109920.1,109920.36,1679.33591373
Coinbase,BTC-USD,109920.36,2025-11-01 22:05:58.748038+00:00,109920.1,109922.4,1679.33625497
Coinbase,BTC-USD,109922.4,2025-11-01 22:05:58.748038+00:00,109920.1,109924.82,1679.33626597
Coinbase,BTC-USD,109924.82,2025-11-01 22:05:58.748038+00:00,109920.1,109924.82,1679.33633219
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:58.930899+00:00,109924.01,109924.02,1679.33655322
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.005361+00:00,109924.01,109924.02,1679.33677425
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.020750+00:00,109924.01,109924.02,1679.33678682
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.134773+00:00,109924.01,109924.02,1679.33687464
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.138927+00:00,109924.01,109924.02,1679.33688815
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.159808+00:00,109924.01,109924.78,1679.33724156
Coinbase,BTC-USD,109924.78,2025-11-01 22:05:59.159808+00:00,109924.01,109924.78,1679.33731958
Binance,BTC-USD,110163.08,2025-11-01 22:05:59.104000+00:00,109858.1,110162.84,2.49823
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.202317+00:00,109924.01,109924.78,1679.33822895
Coinbase,BTC-USD,109924.78,2025-11-01 22:05:59.202317+00:00,109924.01,109924.78,1679.33952985
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.227171+00:00,109924.01,109924.78,1679.34043922
Coinbase,BTC-USD,109924.78,2025-11-01 22:05:59.227171+00:00,109924.01,109924.78,1679.34129804
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.595663+00:00,109924.01,109924.02,1679.34138811
Coinbase,BTC-USD,109924.02,2025-11-01 22:05:59.613555+00:00,109924.01,109924.02,1679.34183016
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.125952+00:00,109924.01,109924.02,1679.34220741
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.125952+00:00,109924.01,109924.02,1679.34221597
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.125952+00:00,109924.01,109924.02,1679.34359837
Binance,BTC-USD,110163.08,2025-11-01 22:06:00.111000+00:00,109858.1,110162.77,2.49823
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.424172+00:00,109924.01,109924.02,1679.34382354
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.628329+00:00,109924.01,109924.02,1679.34429207
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.637749+00:00,109924.01,109924.02,1679.34875549
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.860366+00:00,109924.01,109924.02,1679.3496396
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.877592+00:00,109924.01,109924.02,1679.34985531
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:00.894032+00:00,109924.01,109924.02,1679.35007634
Binance,BTC-USD,110163.08,2025-11-01 22:06:00.979000+00:00,109858.1,110162.71,2.49823
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:01.313513+00:00,109924.01,109924.02,1679.35024639
Coinbase,BTC-USD,109924.02,2025-11-01 22:06:01.342825+00:00,109924.01,109924.02,1679.35069673
Coinbase,BTC-USD,109924.01,2025-11-01 22:06:01.776640+00:00,109920.1,109924.02,1679.35071128
Coinbase,BTC-USD,109920.1,2025-11-01 22:06:01.776640+00:00,109920.1,109924.02,1679.35071228
Coinbase,BTC-USD,109920.1,2025-11-01 22:06:01.776640+00:00,109920.1,109924.02,1679.35134913
Coinbase,BTC-USD,109919.96,2025-11-01 22:06:01.825300+00:00,109916.96,109919.96,1679.35232127
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:01.843704+00:00,109916.96,109916.97,1679.35453154
Coinbase,BTC-USD,109916.96,2025-11-01 22:06:01.969273+00:00,109916.96,109916.97,1679.35653154
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:02.176820+00:00,109916.96,109916.97,1679.35679679
Binance,BTC-USD,110163.08,2025-11-01 22:06:01.880000+00:00,109858.1,110162.67,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:02.355824+00:00,109916.96,109916.97,1679.35745963
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:02.496869+00:00,109916.96,109916.97,1679.35768066
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:02.530345+00:00,109916.96,109916.97,1679.35812271
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:02.581347+00:00,109916.96,109916.97,1679.35902339
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:02.638020+00:00,109916.96,109916.97,1679.35915597
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:02.884654+00:00,109916.96,109916.97,1679.359377
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:03.097886+00:00,109916.96,109916.97,1679.35946707
Binance,BTC-USD,110163.08,2025-11-01 22:06:03.081000+00:00,109858.12,110162.67,2.49823
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:03.281309+00:00,109916.96,109916.97,1679.3598985
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:03.480854+00:00,109916.96,109916.97,1679.36011953
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:03.488229+00:00,109916.96,109916.97,1679.36620555
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:03.543028+00:00,109916.96,109916.97,1679.36710623
Coinbase,BTC-USD,109916.97,2025-11-01 22:06:03.592777+00:00,109916.96,109916.97,1679.36728637
Coinbase,BTC-USD,109916.96,2025-11-01 22:06:03.627991+00:00,109916.96,109916.97,1679.37487378
Coinbase,BTC-USD,109916.96,2025-11-01 22:06:03.627991+00:00,109916.96,109916.97,1679.37492414
